"Target","Ridom Usage","Ridom Exclusion Reason","location","gene","product","protein_id","note"
"Rv0034","MLST+","-","36867..37262",,"hypothetical protein","NP_214548.1","Rv0034, (MTCY10H4.34), len: 131 aa. Conserved hypothetical protein, showing weak similarity to AE001980|AE001980_7 hypothetical protein from Deinococcus radiodurans (120 aa), FASTA scores: opt: 141, E(): 0.0028,(29.3% identity in 123 aa overlap)."
"Rv0035","MLST+","-","37259..38947","fadD34","Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)","YP_177686.1","Rv0035, (MTCY10H4.35), len: 562 aa. Probable fadD34,fatty-acid-CoA synthetase, similar to many."
"Rv0036c","MLST+","-","39056..39829",,"hypothetical protein","NP_214550.1","Rv0036c, (MTCY10H4.36c), len: 257 aa. Conserved protein, highly similar to CAB95889.1|AL359988 conserved hypothetical protein from Streptomyces (276 aa). Also some similarity to Rv3099c|MTCY164_10 (283 aa), FASTA scores: E(): 3.3e-05, (25.9% identity in 205 aa overlap)."
"Rv0037c","MLST+","-","39877..41202",,"Probable conserved integral membrane protein","NP_214551.1","Rv0037c, (MTCY10H4.37c), len: 441 aa. Probable conserved integral membrane protein, member of major facilitator superfamily (MFS) possibly involved in transport of macrolide."
"Rv0038","MLST+","-","41304..41912",,"hypothetical protein","NP_214552.1","Rv0038, (MTCY10H4.38), len: 202 aa. Conserved protein, similar to many."
"Rv0039c","MLST+","-","42004..42351",,"Possible conserved transmembrane protein","NP_214553.1","Rv0039c, (MTCY21D4.02c, MTCY10H4.39c), len: 115 aa. Possible conserved transmembrane protein. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."
"Rv0040c","MLST+","-","42433..43365","mtc28","Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen)","NP_214554.2","Rv0040c, (MTCY21D4.03c), len: 310 aa. Mtc28,secreted proline rich 28 kDa antigen protein (has hydrophobic stretch at N-terminus) (see citation below). A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."
"Rv0041","MLST+","-","43562..46471","leuS","Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS)","NP_214555.1","Rv0041, (MTCY21D4.04), len: 969 aa. Probable leucyl-tRNA synthetase, similar to many. Contains PS00178 Aminoacyl-transfer RNA synthetases class-I signature. Belongs to class-I aminoacyl-tRNA synthetase family."
"Rv0042c","MLST+","-","46581..47207",,"Possible transcriptional regulatory protein (probably MarR-family)","NP_214556.1","Rv0042c, (MTCY21D4.05c), len: 208 aa. Possible transcriptional regulatory protein, MarR-family. Some similarity to Mycobacterium tuberculosis proteins Rv2327,Rv0880, and Rv1404."
"Rv0043c","MLST+","-","47366..48100",,"Probable transcriptional regulatory protein (probably GntR-family)","NP_214557.1","Rv0043c, (MTCY21D4.06c), len: 244 aa. Probable transcriptional regulator, GntR family, similar to others."
"Rv0044c","MLST+","-","48233..49027",,"Possible oxidoreductase","NP_214558.1","Rv0044c, (MTCY21D4.07c), len: 264 aa. Possible oxidoreductase, highly similar to AAD32732.1|MmcI|AF127374| F420-dependent H4MPT reductase from Streptomyces lavendulae (264 aa). Also similar to Mycobacterium tuberculosis proteins e.g. Rv1855c, Rv0953c, Rv0791c, Rv0132c, etc."
"Rv0045c","MLST+","-","49043..49939",,"Possible hydrolase","NP_214559.1","Rv0045c, (MTCY21D4.08c), len: 298 aa. Possible hydrolase, showing similarity with others. Also similar to Mycobacterium tuberculosis proteins Rv3473c, Rv1123c,Rv1938, Rv3617, Rv3670, etc."
"Rv0046c","MLST+","-","50021..51124","ino1","myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)","NP_214560.1","Rv0046c, (MTCY21D4.09c), len: 367 aa. Ino1 (alternate gene name: tbINO), myo-inositol-1-phosphate synthase (see citations below)."
"Rv0047c","MLST+","-","51185..51727",,"hypothetical protein","NP_214561.1","Rv0047c, (MTCY21D4.10c), len: 180 aa. Conserved protein, similar to many."
"Rv0048c","MLST+","-","51828..52697",,"Possible membrane protein","NP_214562.1","Rv0048c, MTCY21D4.11c, len: 289 aa. Possible membrane protein."
"Rv0049","MLST+","-","52831..53244",,"hypothetical protein","NP_214563.1","Rv0049, (MTCY21D4.12), len: 137 aa. Conserved hypothetical protein. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."
"Rv0050","MLST+","-","53663..55699","ponA1","Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)","YP_177687.1","Rv0050, (MTCY21D4.13), len: 678 aa. Probable ponA1,penicillin-binding protein (class A), bienzymatic protein with transglycosylase and transpeptidase activities (see Graham & Clark-Curtiss 1999), highly similar to many (see Billman-Jacobe et al., 1999). Belongs to the transglycosylase family in the N-terminal section, and to the transpeptidase family in the C-terminal section."
"Rv0051","MLST+","-","55696..57378",,"Probable conserved transmembrane protein","NP_214565.1","Rv0051, (MTCY21D4.14), len:560 aa. Predicted to be in the GT-C superfamily of glycosyltransferases (See Liu and Mushegian, 2003). Probable conserved transmembrane protein."
"Rv0052","MLST+","-","57410..57973",,"hypothetical protein","NP_214566.3","Rv0052, (MTCY21D4.15), len: 187 aa. Conserved protein, similar to others including Rv1930c from Mycobacterium tuberculosis (174 aa). May be a membrane protein."
"Rv0053","MLST+","-","58192..58482","rpsF","30S ribosomal protein S6 RpsF","NP_214567.1","Rv0053, (MTCY21D4.16), len: 96 aa. rpsF, 30S ribosomal protein S6, highly similar to many. Contains PS01048 Ribosomal protein S6 signature. Belongs to the S6P family of ribosomal proteins."
"Rv0054","MLST+","-","58586..59080","ssb","Single-strand binding protein Ssb (helix-destabilizing protein)","NP_214568.1","Rv0054, (MTCY21D4.17), len: 164 aa. ssb,single-strand binding protein (see Mizrahi & Andersen 1998), highly similar to others. Belongs to the SSB family."
"Rv0055","MLST+","-","59122..59376","rpsR1","30S ribosomal protein S18-1 RpsR1","YP_177688.1","Rv0055, (MTCY21D4.18), len: 84 aa. rpsR1, 30S ribosomal protein S18-1. Belongs to the S18P family of ribosomal proteins. Note that previously known as rpsR."
"Rv0056","MLST+","-","59409..59867","rplI","50S ribosomal protein L9 RplI","NP_214570.1","Rv0056, (MTCY21D4.19), len: 152 aa. rplI, 50S ribosomal protein L9. Contains PS00651 Ribosomal protein L9 signature. Belongs to the L9P family of ribosomal proteins."
"Rv0057","Accessory","Gene Rv0057 overlaps Rv0058 at 22 bases.","59896..60417",,"Hypothetical protein","NP_214571.1","Rv0057, (MTCY21D4.20), len: 173 aa. Hypothetical unknown protein."
"Rv0058","MLST+","-","60396..63020","dnaB","Probable replicative DNA helicase DnaB","NP_214572.1","Rv0058, (MTV030.01, MTCY21D4.21), len: 874 aa. Probable dnaB, replicative DNA helicase. Contains an intein (position 61630..62838) similar to, and in the same position as, those in Sycnechocystis and Rhodothermus marinus (see citation below) and C-terminal extein (position 62839..63015) similar to many dnaB proteins. This protein undergoes a protein self splicing that involves a post-translational excision of the intervening region (intein) followed by peptide ligation. Belongs to the helicase family, DNAB subfamily. In the intein section; belongs to the homing endonuclease family."
"Rv0059","MLST+","-","63200..63892",,"Hypothetical protein","NP_214573.1","Rv0059, (MTV030.02), len: 230 aa. Hypothetical unknown protein."
"Rv0060","MLST+","-","63909..64967",,"hypothetical protein","NP_214574.1","Rv0060, (MTV030.03), len: 352 aa. Conserved hypothetical protein."
"Rv0061c","MLST+","-","65012..65350",,"Hypothetical protein","YP_007408697.1","Rv0061c, len: 112 aa. Conserved hypothetical protein supported by RNA-seq data. Similar to MMAR_3839, 76% identity in 112 aa overlap. Replaces questionable ORF Rv0061 (MTV030.04)."
"Rv0062","MLST+","-","65552..66694","celA1","Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)","YP_177689.1","Rv0062, (MTV030.05), len: 380 aa. Possible celA1,cellulase, similar to many. Seems to belong to cellulase family B (family 6 of glycosyl hydrolases). Note that previously known as celA."
"Rv0063","MLST+","-","66923..68362",,"Possible oxidoreductase","NP_214577.1","Rv0063, (MTV030.06), len: 479 aa. Possible oxidoreductase, similar to many. Similar to Mycobacterium tuberculosis proteins e.g. Rv3107c, Rv1257c, etc. Contains PS00862 Oxygen oxidoreductases covalent FAD-binding site."
"Rv0064","MLST+","-","68620..71559",,"Probable conserved transmembrane protein","NP_214578.1","Rv0064, (MTV030.07), len: 979 aa. Probable conserved transmembrane protein, similar to many. Contains probable coiled-coil domain from aa 948 to 976."
"Rv0064A","Accessory","Gene Rv0064A overlaps Rv0065 at 8 bases.","71589..71828","vapB1","Possible antitoxin VapB1","YP_007408701.1","Rv0064A, len: 79 aa. Possible vapB1, antitoxin, part of toxin-antitoxin (TA) operon with Rv0065 (See Arcus et al., 2005; Pandey and Gerdes, 2005). Weakly similar to others in Mycobacterium tuberculosis e.g. Rv0300 (73 aa),Rv1721c (75 aa)"
"Rv0065","MLST+","-","71821..72222","vapC1","Possible toxin VapC1","NP_214579.1","Rv0065, (MTV030.08), len: 133 aa. Possible vapC1,toxin, part of toxin-antitoxin (TA) operon with Rv0064A,contains PIN domain (See Arcus et al., 2005; Pandey and Gerdes, 2005). Similar to several others in Mycobacterium tuberculosis: Rv0960 (127 aa), Rv1720c (129 aa), and Rv0549c (137 aa)."
"Rv0066c","MLST+","-","72274..74511","icd2","Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP)","NP_214580.1","Rv0066c, (MTV030.09c), len: 745 aa. Probable icd2,isocitrate dehydrogenase NADP-dependent. Belongs to the monomeric-type family of IDH. Note that in H37Rv, Rv0066c is named icd2 and Rv3339c is icd1 while in CDC1551 and Erdman strains, Rv0066c is icd1 and Rv3339c is icd2."
"Rv0067c","MLST+","-","74629..75198",,"Possible transcriptional regulatory protein (possibly TetR-family)","NP_214581.1","Rv0067c, (MTV030.10c), len: 189 aa. Possible transcriptional regulator, highly similar to many. Contains probable helix-turn-helix motif from aa 34 to 55 (Score 1523, +4.37 SD)."
"Rv0068","MLST+","-","75301..76212",,"Probable oxidoreductase","NP_214582.1","Rv0068, (MTV030.11), len: 303 aa. Probable oxidoreductase, similar to many."
"Rv0069c","MLST+","-","76237..77622","sdaA","Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD)","NP_214583.1","Rv0069c, (MTV030.12c), len: 461 aa. Probable sdaA,L-serine dehydratase. Belongs to the iron-sulfur dependent L-serine dehydratase family. Cofactor: iron-sulfur (4FE-4S) (probable)."
"Rv0070c","MLST+","-","77619..78896","glyA2","Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2)","NP_214584.1","Rv0070c, (MTV030.13c), len: 425 aa. glyA2, serine hydroxymethyltransferase. Contains PS00096 Serine hydroxymethyltransferase pyridoxal-phosphate attachment site. Belongs to the ShmT family. Cofactor: pyridoxal phosphate."
"Rv0071","Accessory","Gene was not found! (best match 79496..80184, E-value: 0.0, identity: 100.0, overlap: 97.31638)","79486..80193",,"Possible maturase","NP_214585.1","Rv0071, (MTV030.14), len: 235 aa. Possible maturase,similar to many proteins of the group II intron maturase family. Contains 5 VDP repeats at N-terminus, these are also found in two Streptococcus plasmid hypothetical proteins Q52246|X17092 and Q54942|X66468."
"Rv0072","MLST+","-","80624..81673",,"Probable glutamine-transport transmembrane protein ABC transporter","NP_214586.1","Rv0072, (MTV030.16), len: 349 aa. Probable glutamine-transport transmembrane protein ABC-transporter (see citation below). Note that supposed act with near ORF Rv0073|MTV030.17 ATP-binding protein ABC-transporter."
"Rv0073","MLST+","-","81676..82668",,"Probable glutamine-transport ATP-binding protein ABC transporter","NP_214587.1","Rv0073, (MTV030.17), len: 330 aa. Probable glutamine-transport ATP-binding protein ABC-transporter (see citation below), similar to many ATP-binding proteins. Contains PS00017 ATP/GTP-binding site motif A (P-loop),PS00211 ABC transporters family signature, and PS00889 Cyclic nucleotide-binding domain signature 2. Belongs to the ATP-binding transport protein family (ABC transporters). Note that supposed act with near ORF Rv0072|MTV030.16 transmembrane ABC-transporter."
"Rv0074","MLST+","-","82748..83983",,"hypothetical protein","NP_214588.1","Rv0074, (MTV030.18), len: 411 aa. Conserved protein,similar to many."
"Rv0075","MLST+","-","83996..85168",,"Probable aminotransferase","NP_214589.1","Rv0075, (MTV030.19), len: 390 aa. Probable aminotransferase, similar to many class-II pyridoxal-phosphate-dependent aminotransferases (MALY/PATB subfamily). Also similar to other proteins from Mycobacterium tuberculosis e.g. Rv2294, Rv0858c, etc."
"Rv0076c","MLST+","-","85183..85572",,"Probable membrane protein","NP_214590.1","Rv0076c, (MTV030.20c), len: 129 aa. Probable membrane protein, with membrane-spanning domain at C-terminus."
"Rv0077c","MLST+","-","85636..86466",,"Probable oxidoreductase","NP_214591.1","Rv0077c, (MTV030.21c), len: 276 aa. Possible oxidoreductase, weakly similar to others from Streptomyces. Also similar to MTCY05A6_35 and MTCY1A11_10 from Mycobacterium tuberculosis. And shows some similarity in part with AAL17935.1|AY054120 putative epoxide hydrolase from Mycobacterium smegmatis (203 aa)."
"Rv0078","MLST+","-","86528..87133",,"Probable transcriptional regulatory protein","NP_214592.1","Rv0078, (MTV030.22), len: 201 aa. Probable transcriptional regulator. Contains probable helix-turn-helix motif from aa 35 to 56 (Score 1348, +3.78 SD)."
"Rv0078A","MLST+","-","87208..87801",,"Hypothetical protein","YP_177616.1","Rv0078A, len: 197 aa. Hypothetical unknown protein. This region is a possible MT-complex-specific genomic island (See Becq et al., 2007)."
"Rv0078B","MLST+","-","87798..88004",,"hypothetical protein","YP_007408717.1","Rv0078B, len: 68 aa. Conserved protein."
"Rv0079","MLST+","-","88204..89025",,"hypothetical protein","NP_214593.1","Rv0079, (MTV030.23), len: 273 aa. Unknown protein. Predicted possible vaccine candidate (See Zvi et al.,2008)."
"Rv0080","MLST+","-","89022..89480",,"hypothetical protein","NP_214594.1","Rv0080, (MTV030.24), len: 152 aa. Conserved hypothetical protein. Belongs to pyridoxine 5'-phosphate (PNP) oxidase-like (PNPOx-like) superfamily."
"Rv0081","MLST+","-","89575..89919",,"Probable transcriptional regulatory protein","NP_214595.1","Rv0081, (MTV030.25), len: 114 aa. Probable transcriptional regulator, highly similar to others."
"Rv0082","MLST+","-","89924..90403",,"Probable oxidoreductase","NP_214596.2","Rv0082, (MTV030.26), len: 159 aa. Probable oxidoreductase, highly similar or similar to other various oxidoreductases. Nucleotide position 90144 in the genome sequence has been corrected, A:G resulting in Q74R."
"Rv0083","MLST+","-","90400..92322",,"Probable oxidoreductase","NP_214597.1","Rv0083, (MTV030.27, MTCY251.01), len: 640 aa. Probable oxidoreductase, showing some similarity to other various oxidoreductases. Nucleotide position 91071 in the genome sequence has been corrected, T:C resulting in I224I."
"Rv0084","MLST+","-","92328..93278","hycD","Possible formate hydrogenlyase HycD (FHL)","NP_214598.1","Rv0084, (MTCY251.02), len: 316 aa. Possible hycD (alternate gene name: hevD), formate hydrogenlyase,integral membrane protein, similar to others. Belongs to the complex I subunit 1 family."
"Rv0085","MLST+","-","93289..93951","hycP","Possible hydrogenase HycP","NP_214599.1","Rv0085, (MTCY251.03), len: 220 aa. Possible hycP,hydrogenase, integral membrane protein. Belongs to NADH-ubiquinone/plastoquinone oxidoreductase chain 4L superfamily."
